2019-09-08 09:38:10:824   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:10:832   192.168.1.13:12345接收数据：+OCCH1:1

2019-09-08 09:38:10:919   192.168.1.13:12345接收数据：+OCCH_ALL:0

2019-09-08 09:38:11:024   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:11:032   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:11:224   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:11:232   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:11:424   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:11:432   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:11:624   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:11:632   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:11:824   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:11:832   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:12:024   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:12:032   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:12:224   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:12:232   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:12:424   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:12:433   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:12:624   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:12:632   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:12:824   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:12:832   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:13:024   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:13:032   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:13:224   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:13:232   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:13:425   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:13:432   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:38:13:624   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:38:13:632   192.168.1.13:12345接收数据：+OCCH1:0

